I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

13  56.367777778   37.430833333      591    11180   130      0.000  SWO ENRT UU SAVELOVO DME
 3  18.310000000  109.173333333     1476    11250   130     -1.000  SYX ENRT ZJ SANYA VOR/DME
12  18.310000000  109.173333333     1476    11250   130      0.000  SYX ENRT ZJ SANYA VOR/DME
 3  40.101666667  116.461666667      134    11720   130     -6.000  SZY ENRT ZB SHAZIYING VOR/DME
12  40.101666667  116.461666667      134    11720   130      0.000  SZY ENRT ZB SHAZIYING VOR/DME
 2  62.116666667   42.900000000        0      312    50      0.000    S ENRT UL SHENKURSK NDB
 2  46.380138889   44.269388889        0      311    15      0.000   SA ENRT UR ELISTA NDB
 2  40.968388889   71.621333333        0      329    15      0.000   SA ENRT UT NAMANGAN NDB
 2  51.576250000   46.022250000        0      479    50      0.000   SA ENRT UW SARATOV NDB
 2  47.997222222   20.987777778        0      390    25      0.000  SAG ENRT LH SAJOHIDVEG NDB
 2  47.752777778   39.798611111        0      414    50      0.000   SB ENRT UR SAMBEK NDB
 2  46.670444444  113.286888889        0      315    50      0.000   SB ENRT ZM BARUUN NDB
 2  27.740000000  102.165000000        0      319    75      0.000   SB ENRT ZU HEXI NDB
 2  45.104444444   33.991666667        0      588    15      0.000   SF ENRT UK SIMFEROPOL' NDB
 2  55.548333333   39.996944444        0      410    50      0.000   SF ENRT UU CHERUSTI NDB
 2  62.562305556  114.127388889        0      385    15      0.000   SG ENRT UE MIRNY NDB
 2  54.433333333   53.383333333        0      348    75      0.000   SG ENRT UW OCTYABRSKY NDB
 2  47.403611111   30.280000000        0      389    75      0.000   SH ENRT UK SHYRIAIEVE NDB
 2  45.785000000   24.152583333        0      381    75      0.000  SIB ENRT LR SIBIU NDB
 2  51.123250000   51.485361111        0      442    75      0.000   SK ENRT UA URALSK NDB
 2  46.833777778  142.715305556        0      505    15      0.000   SL ENRT UH YUZHNO-SAKHALINSK NDB
 2  48.402222222   45.295833333        0      644    50      0.000   SL ENRT UR SOLODNIKI NDB
 2  57.313333333  139.430000000        0      835    50      0.000   SM ENRT UH TUKCHI NDB
 2  44.774444444   38.801111111        0      662    50      0.000   SM ENRT UR SMOLENSKAYA NDB
 2  46.665805556   17.166861111        0      436    15      0.000  SME ENRT LH SARMELLEK NDB
 2  43.755000000   59.025000000        0      453    75      0.000   SO ENRT UT MUYNAK NDB
 2  56.691388889   85.329166667        0      535    50      0.000   SP ENRT UN MALINOVKA NDB
 2  36.240000000  113.116666667        0      398    75      0.000   SQ ENRT ZB CHANGZHI NDB
 2  48.521083333   22.508861111        0      690    25      0.000   SR ENRT UK SEREDNIE NDB
 2  41.184666667   69.222833333        0      743    15      0.000   SR ENRT UT SERGELI NDB
 2  49.258888889   43.679444444        0      777    50      0.000   ST ENRT UR SIROTINSKAYA NDB
 2  56.275666667   43.799277778        0      245    75      0.000   ST ENRT UW NIZHNY NOVGOROD NDB
 2  60.020833333   37.759444444        0      791    50      0.000   SU ENRT UL BELOZERSK NDB
 2  28.216666667  113.348333333        0      345    50      0.000   SV ENRT ZG LUCHONG NDB
 2  46.829722222   18.117222222        0      348    25      0.000  SVR ENRT LH SAGVAR NDB
 2  54.297500000  155.956388889        0      552    50      0.000   SW ENRT UH SOBOLEVO NDB
 2  56.368055556   37.431111111        0     1285    75      0.000   SW ENRT UU SAVELOVO NDB
 2  38.843333333   68.840000000        0      505    75      0.000   SX ENRT UT PUGUS NDB
 2  55.356944444   78.302777778        0      965    50      0.000   SZ ENRT UN BARABINSK NDB
 2  40.518333333  112.495000000        0      282    50      0.000   SZ ENRT ZB LIANGCHENG NDB
 2  54.414638889   16.368638889        0      436    15      0.000    S EPDA EP DARLOWO NDB
 2  54.432250000   16.396361111        0      474    15      0.000   SA EPDA EP DARLOWO NDB
 2  46.240055556   20.089200000        0      456    15      0.000  SEG LHUD LH SZEGED NDB
 2  51.139777778   51.518972222        0      214    15      0.000    S UARR UA URALSK NDB
 2  50.022583333   82.519027778        0      708    15      0.000    S UASK UA UST-KAMENOGORSK NDB
 2  50.354166667   80.273611111        0      850    15      0.000    S UASS UA SEMEY NDB
 2  50.356944444   80.316666667        0      418    15      0.000   SP UASS UA SEMEY NDB
 2  62.547722222  114.080694444        0      770    15      0.000    S UERR UE MIRNY NDB
 2  46.860027778  142.716805556        0      645    15      0.000    S UHSS UH KHOMUTOVO (YUZHNO-SAKHALINSK) NDB
 2  50.855750000   34.728500000        0      303    15      0.000   SU UKHS UK SUMY NDB
 2  55.057361111   82.592083333        0      722    15      0.000    S UNNT UN TOLMACHEVO (NOVOSIBIRSK) NDB
 2  55.082722222   82.583666667        0      520    15      0.000   SV UNNT UN TOLMACHEVO (NOVOSIBIRSK) NDB
 2  42.798583333   47.668361111        0      740    15      0.000    S URML UR UYTASH (MAKHACHKALA) NDB
 2  42.777083333   47.685472222        0      365    15      0.000   SM URML UR UYTASH (MAKHACHKALA) NDB
 2  43.325000000   44.978333333        0      554    25      0.000    S URMS UR MAGAS (SLEPTSOVSKAYA) NDB
 2  43.328333333   44.945000000        0      276    25      0.000   SC URMS UR MAGAS (SLEPTSOVSKAYA) NDB
 2  71.201833333   71.951222222        0      835    15      0.000   SA USDA US SABETTA NDB
 2  71.223166667   72.098777778        0      835    15      0.000   ST USDA US SABETTA NDB
 2  40.975669444   71.592750000        0      676    15      0.000    S UTFN UT NAMANGAN NDB
 2  55.619138889   37.282500000        0      914    15      0.000   SX UUWW UU VNUKOVO (MOSCOW) NDB
 2  61.664666667   50.859750000        0      705    25      0.000    S UUYY UU SYKTYVKAR NDB
 2  61.693972222   50.884361111        0      345    50      0.000   SR UUYY UU SYKTYVKAR NDB
 2  56.250111111   43.789305556        0     1030    15      0.000    S UWGG UW STRIGINO (NIZHNY NOVGOROD) NDB
 2  51.067055556   58.559083333        0      780    15      0.000    S UWOR UW ORSK NDB
 2  51.060888889   58.517305556        0      385    15      0.000   SF UWOR UW ORSK NDB
 2  54.104194444   45.189388889        0     1025    25      0.000    S UWPS UW SARANSK NDB
 2  54.085888889   45.169388889        0      505    25      0.000   SI UWPS UW SARANSK NDB
 3  55.907511111   -2.206336111      760    11250   130     -2.000  SAB ENRT EG SAINT ABBS VOR/DME
12  55.907511111   -2.206336111      760    11250   130      0.000  SAB ENRT EG SAINT ABBS VOR/DME
13  49.212461111    7.116072222     1082    11675    40      0.000  SAD ENRT ED SAARBRUCKEN DME
 3  43.611833333    5.102805556      253    11515   130      1.000  SAL ENRT LF SALON DE PROVENCE TACAN
12  43.611833333    5.102805556      253    11515   130      0.000  SAL ENRT LF SALON DE PROVENCE TACAN DME
 3  50.955250000   -1.345055556       66    11335   130     -1.000  SAM ENRT EG SOUTHAMPTON VOR/DME
12  50.955250000   -1.345055556       66    11335   130      0.000  SAM ENRT EG SOUTHAMPTON VOR/DME
 3  37.686625000   26.907077778       35    11160   130      4.000  SAM ENRT LG SAMOS VOR/DME
12  37.686625000   26.907077778       35    11160   130      0.000  SAM ENRT LG SAMOS VOR/DME
 3  37.916666667   23.914166667      277    10960   130      2.900  SAT ENRT LG ATHENS VOR/DME
12  37.916666667   23.914166667      277    10960   130      0.000  SAT ENRT LG ATHENS VOR/DME
 3  44.676805556   -0.152916667        0    11680   130     -1.500  SAU ENRT LF SAUVETERRE DE GUYENNE VOR
 3  48.796250000    7.447972222     1021    11045   130      1.000  SAV ENRT LF SAVERNE VOR/DME
12  48.796250000    7.447972222     1021    11045   130      0.000  SAV ENRT LF SAVERNE VOR/DME
 3  44.075555556    9.938888889       47    11110    25      1.000  SAZ ENRT LI SARZANA TACAN
12  44.075555556    9.938888889       47    11110    25      0.000  SAZ ENRT LI SARZANA TACAN DME
 3  48.002583333   12.892761111     1494    11380   130      3.000  SBG ENRT LO SALZBURG VOR/DME
12  48.002444444   12.892880556     1494    11380   130      0.000  SBG ENRT LO SALZBURG VOR/DME
 3  45.745583333    7.338694444     2365    10925    40      1.000  SCS ENRT LI AOSTA VOR/DME
12  45.745472222    7.338611111     2365    10925    40      0.000  SCS ENRT LI AOSTA VOR/DME
 3  70.234255556   28.070194444      941    11360   130     13.000  SDA ENRT EN SEIDA VOR/DME
12  70.234255556   28.070194444      941    11360   130      0.000  SDA ENRT EN SEIDA VOR/DME
13  52.374525000   13.503672222      152    11440    40      0.000  SDD ENRT ED SCHONEFELD DME
 3  48.637000000    4.889194444      500    11400   130      1.000  SDI ENRT LF SAINT DIZIER ROBINSON TACAN
12  48.637000000    4.889194444      500    11400   130      0.000  SDI ENRT LF SAINT DIZIER ROBINSON TACAN DME
 3  44.417333333    8.823638889       33    10860   130      1.000  SES ENRT LI SESTRI (GENOA) VOR/DME
12  44.417444444    8.823611111       33    10860   130      0.000  SES ENRT LI SESTRI (GENOA) VOR/DME
 3  50.760691667    0.121913889      300    11700   130     -0.000  SFD ENRT EG SEAFORD VOR/DME
12  50.760691667    0.121913889      300    11700   130      0.000  SFD ENRT EG SEAFORD VOR/DME
13  48.687947222    9.224105556     1239    11545    40      0.000  SGD ENRT ED STUTTGART DME
