I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  50.920277778    4.616166667        0      293    15      0.000   OB ENRT EB BRUSSELS NDB
 2  43.229833333    5.665416667        0      395    50      0.000   OB ENRT LF MARSEILLE PROVENCE NDB
 2  60.491327778    2.824625000        0      353    50      0.000  OBA ENRT EN OSEBERG A NDB
 2  48.080641667   11.285400000        0      429    25      0.000  OBI ENRT ED OBERPFAFFENHOFEN NDB
 2  56.460686111   -5.402200000        0      404    25      0.000  OBN ENRT EG OBAN NDB
 2  44.643833333   20.138444444        0      355    25      0.000  OBR ENRT LY BELGRADE NDB
 2  45.740611111   -0.161083333        0      346    15      0.000   OC ENRT LF COGNAC NDB
 2  68.398280556   16.122972222        0      365    50      0.000  ODD ENRT EN ODDEN (HARSTAD-NARVIK) NDB
 2  58.140016667    7.999027778        0      372    50      0.000  ODR ENRT EN ODDEROY (KRISTIANSAND) NDB
 2  53.430166667   -6.428805556        0      316    25      0.000   OE ENRT EI DUBLIN NDB
 2  55.989722222   14.100861111        0      363    25      0.000  OEM ENRT ES KRISTIANSTAD NDB
 2  51.520836111   -2.591722222        0      325    25      0.000   OF ENRT EG FILTON NDB
 2  66.043972222  -22.681444444        0      400    25      0.000   OG ENRT BI OGUR (ISAFJORDUR) NDB
 2  57.696388889   14.031138889        0      403    15      0.000   OJ ENRT ES JONKOPING NDB
 2  53.923944444   -8.699805556        0      398    15      0.000   OK ENRT EI CONNAUGHT NDB
 2  50.824027778    3.224861111        0      371    25      0.000  OKT ENRT EB KORTRIJK-WEVELGEM NDB
 2  50.489527778    4.555388889        0      323    25      0.000  ONC ENRT EB CHARLEROI NDB
 2  51.220305556    3.011611111        0      399    50      0.000  ONO ENRT EB OSTEND NDB
 2  51.167416667    4.566222222        0      355    50      0.000  ONW ENRT EB ANTWERP NDB
 2  53.413805556   -6.138361111        0      397    25      0.000   OP ENRT EI DUBLIN NDB
 2  44.145861111    4.857194444        0      328    75      0.000  ORG ENRT LF ORANGE NDB
 2  45.643777778    9.841666667        0      376    25      0.000  ORI ENRT LI ORIO AL SERIO (BERGAMO) NDB
 2  47.937388889    2.242638889        0      322    15      0.000  ORS ENRT LF ORLEANS SAINT DENIS DE L'HOTEL NDB
 2  48.465222222   -5.063500000        0      351    15      0.000  OSA ENRT LF OUESSANT NDB
 2  45.455419444   18.837608333        0      422    15      0.000  OSJ ENRT LD OSIJEK NDB
 2  41.805166667   12.236416667        0      327    50      0.000  OST ENRT LI OSTIA NDB
 2  59.316638889   18.046694444        0      322    25      0.000   OU ENRT ES BROMMA NDB
 2  57.732916667   18.396722222        0      351    15      0.000   OV ENRT ES VISBY NDB
 2  51.833411111   -1.323458333        0      367    15      0.000   OX ENRT EG OXFORD NDB
 2  54.692647222   -6.085361111        0      332    15      0.000   OY ENRT EG BELFAST/ALDERGROVE NDB
 2  62.045416667   14.326111111        0      368    15      0.000   OY ENRT ES SVEG NDB
 2  60.057222222  -43.159722222        0      372    75      0.000  OZN ENRT BG PRINS CHRISTIAN SUND NDB
 2  65.686472222  -18.077638889        0      415    15      0.000   OE BIAR BI ODDEYRI (AKUREYRI) NDB
 2  50.938722222    4.592666667        0      402    25      0.000   OP EBBR EB BRUSSELS NATIONAL NDB
 2  50.826722222    4.467027778        0      314    25      0.000   OZ EBBR EB BRUSSELS NATIONAL NDB
 2  50.701083333    5.549166667        0      290    25      0.000  ONL EBLG EB LIEGE NDB
 2  51.204611111    2.907250000        0      375    25      0.000   OO EBOS EB OSTEND (OSTEND-BRUGGE) NDB
 2  62.703036111   22.809552778        0      408    15      0.000    O EFSI EF OSCAR (SEINAJOKI) NDB
 2  52.748986111   -8.823894444        0      339    25      0.000   OL EINN EI SHANNON NDB
 2  57.811361111   11.879055556        0      360    15      0.000   OS ESGP ES SAVE (GOTEBORG) NDB
 2  67.103916667   20.952027778        0      325    15      0.000   OG ESNG ES GALLIVARE NDB
 2  64.498166667   18.802722222        0      320    15      0.000   OL ESNL ES LYCKSELE NDB
 2  62.460000000   17.485388889        0      378    15      0.000   OS ESNN ES SUNDSVALL(SUNDSVALL-HARNOSAND) NDB
 2  63.437027778   18.887083333        0      322    15      0.000   OD ESNO ES ORNSKOLDSVIK NDB
 2  63.370472222   19.132361111        0      369    15      0.000   OO ESNO ES ORNSKOLDSVIK NDB
 2  67.887472222   20.452750000        0      360    15      0.000   OP ESNQ ES KIRUNA NDB
 2  64.605500000   21.238166667        0      369    15      0.000   OS ESNS ES SKELLEFTEA NDB
 2  65.602305556   21.988694444        0      377    15      0.000   OL ESPA ES KALLAX (LULEA) NDB
 2  60.663666667   16.954083333        0      326    25      0.000   OG ESSK ES GAVLE NDB
 2  58.379333333   15.803833333        0      415    15      0.000   OL ESSL ES SAAB (LINKOPING) NDB
 2  58.584472222   16.382027778        0      324    15      0.000   ON ESSP ES KUNGSANGEN (NORRKOPING) NDB
 2  39.896666667    8.645277778        0      362    25      0.000  ORF LIER LI ORISTANO (FENOSU) NDB
 3  16.972255556  -96.731361111     5007    11200    40      5.000  OAX ENRT MM OAXACA VOR/DME
12  16.972255556  -96.731361111     5007    11200    40      0.000  OAX ENRT MM OAXACA VOR/DME
 3  18.438333333  -72.275000000     6365    11320    40     -9.000  OBN ENRT MT OBLEON VOR/DME
12  18.438333333  -72.275000000     6365    11320    40      0.000  OBN ENRT MT OBLEON VOR/DME
 3  20.124200000   73.930200000     1925    11560   130     -0.000  OJR ENRT VA OZAR VOR/DME
12  20.124200000   73.930200000     1925    11560   130      0.000  OJR ENRT VA OZAR VOR/DME
 3  34.565975000   69.205980556     5875    13380    40      3.000  OKB ENRT OA KABUL TACAN
12  34.565975000   69.205980556     5875    13380    40      0.000  OKB ENRT OA KABUL TACAN DME
